EL1 in a plain VM (no EL2)	PMCR0_EL1	S3_1_C15_C0_0	read-back	trap-to-vmm	TRAP->VMM      ESR=0x62307c41 EC=0x18 MSR/MRS/SYS trap S3_1_C15_C0_0 read -> x2
EL1 in a plain VM (no EL2)	PMCR0_EL1	S3_1_C15_C0_0	write(restore)	trap-to-vmm	TRAP->VMM      ESR=0x62307c00 EC=0x18 MSR/MRS/SYS trap S3_1_C15_C0_0 write <- x0
EL1 in a plain VM (no EL2)	PMC0	S3_2_C15_C0_0	read	trap-to-vmm	TRAP->VMM      ESR=0x6230bc01 EC=0x18 MSR/MRS/SYS trap S3_2_C15_C0_0 read -> x0
EL1 in a plain VM (no EL2)	CYC_OVRD	S3_5_C15_C5_0	read	trap-to-vmm	TRAP->VMM      ESR=0x62317c0b EC=0x18 MSR/MRS/SYS trap S3_5_C15_C5_0 read -> x0
EL1 in a plain VM (no EL2)	ACC_CFG	S3_5_C15_C4_0	read	trap-to-vmm	TRAP->VMM      ESR=0x62317c09 EC=0x18 MSR/MRS/SYS trap S3_5_C15_C4_0 read -> x0
EL1 in a plain VM (no EL2)	IPI_SR	S3_5_C15_C1_1	read	trap-to-vmm	TRAP->VMM      ESR=0x62337c03 EC=0x18 MSR/MRS/SYS trap S3_5_C15_C1_1 read -> x0
EL1 in a plain VM (no EL2)	IMP_MSR_RO_CTRL0_EL1	S3_4_C15_C0_5	read	trap-to-vmm	TRAP->VMM      ESR=0x623b3c01 EC=0x18 MSR/MRS/SYS trap S3_4_C15_C0_5 read -> x0
EL1 in a plain VM (no EL2)	ACNTPCT_EL0	S3_4_C15_C10_5	read	trap-to-vmm	TRAP->VMM      ESR=0x623b3c15 EC=0x18 MSR/MRS/SYS trap S3_4_C15_C10_5 read -> x0
EL1 in a plain VM (no EL2)	ACNTVCT_EL0	S3_4_C15_C10_6	read	trap-to-vmm	TRAP->VMM      ESR=0x623d3c15 EC=0x18 MSR/MRS/SYS trap S3_4_C15_C10_6 read -> x0
EL1 in a plain VM (no EL2)	GXF_CONFIG_EL1	S3_6_C15_C1_2	read	trap-to-vmm	TRAP->VMM      ESR=0x6235bca3 EC=0x18 MSR/MRS/SYS trap S3_6_C15_C1_2 read -> x5
